city,city__URI,state,state__URI
Abbevile,"http://dbpedia.org/resource/Abbeville,_Georgia","Georgia, GA",http://dbpedia.org/resource/Georgia_(U.S._state)
Abiline,"http://dbpedia.org/resource/Abilene,_Texas","Texas, TX",http://dbpedia.org/resource/Texas_(state)
Adamsvile,"http://dbpedia.org/resource/Adamsville,_Tennessee","Tennessee, TN",http://dbpedia.org/resource/Tennessee_(state)
Acron,"http://dbpedia.org/resource/Akron,_Ohio","Ohio, OH",http://dbpedia.org/resource/Ohio_(state)
Alabastre,"http://dbpedia.org/resource/Alabaster,_Alabama","Alabama, AL",http://dbpedia.org/resource/Alabama_(state)
Alamedda,"http://dbpedia.org/resource/Alameda,_California","California, CA",http://dbpedia.org/resource/California_(state)
Albanee,"http://dbpedia.org/resource/Albany,_Oregon","Oregon, OR",http://dbpedia.org/resource/Oregon_(state)
Albny,"http://dbpedia.org/resource/Albany,_Oregon","Oregon, OR",http://dbpedia.org/resource/Oregon_(state)
Allbany,"http://dbpedia.org/resource/Albany,_New_York","New York, NY",http://dbpedia.org/resource/New_York_(state)
Albertvile,"http://dbpedia.org/resource/Albertville,_Alabama","Alabama, AL",http://dbpedia.org/resource/Alabama_(state)
Albequerque,"http://dbpedia.org/resource/Albuquerque,_New_Mexico","New Mexico, NM",http://dbpedia.org/resource/New_Mexico_(state)
Albuqerque,"http://dbpedia.org/resource/Albuquerque,_New_Mexico","New Mexico, NM",http://dbpedia.org/resource/New_Mexico_(state)
Albuquerqe,"http://dbpedia.org/resource/Albuquerque,_New_Mexico","New Mexico, NM",http://dbpedia.org/resource/New_Mexico_(state)
Allgona,"http://dbpedia.org/resource/Algona,_Washington","Washington, WA",http://dbpedia.org/resource/Washington_(state)
Allgona,"http://dbpedia.org/resource/Algona,_Iowa","Iowa, IA",http://dbpedia.org/resource/Iowa_(state)
Algonkwen,"http://dbpedia.org/resource/Algonquin,_Illinois","Illinois, IL",http://dbpedia.org/resource/Illinois_(state)
Algonquen,"http://dbpedia.org/resource/Algonquin,_Illinois","Illinois, IL",http://dbpedia.org/resource/Illinois_(state)
Andarson,"http://dbpedia.org/resource/Anderson,_South_Carolina","South Carolina, SC",http://dbpedia.org/resource/South_Carolina_(state)
An Arbor,"http://dbpedia.org/resource/Ann_Arbor,_Michigan","Michigan, MI",http://dbpedia.org/resource/Michigan_(state)
Anapolis,"http://dbpedia.org/resource/Annapolis,_Maryland","Maryland, MD",http://dbpedia.org/resource/Maryland_(state)
Annoka,"http://dbpedia.org/resource/Anoka,_Minnesota","Minnesota, MN",http://dbpedia.org/resource/Minnesota_(state)
Anthoy,"http://dbpedia.org/resource/Anthony,_New_Mexico","New Mexico, NM",http://dbpedia.org/resource/New_Mexico_(state)
Apach Junction,"http://dbpedia.org/resource/Apache_Junction,_Arizona","Arizona, AZ",http://dbpedia.org/resource/Arizona_(state)
Apache Junktion,"http://dbpedia.org/resource/Apache_Junction,_Arizona","Arizona, AZ",http://dbpedia.org/resource/Arizona_(state)
Apecks,"http://dbpedia.org/resource/Apex,_North_Carolina","North Carolina, NC",http://dbpedia.org/resource/North_Carolina_(state)
Apexs,"http://dbpedia.org/resource/Apex,_North_Carolina","North Carolina, NC",http://dbpedia.org/resource/North_Carolina_(state)
Avrada,"http://dbpedia.org/resource/Arvada,_Colorado","Colorado, CO",http://dbpedia.org/resource/Colorado_(state)
Ashtown,"http://dbpedia.org/resource/Ashton,_Idaho","Idaho, ID",http://dbpedia.org/resource/Idaho_(state)
Aspin,"http://dbpedia.org/resource/Aspen,_Colorado","Colorado, CO",http://dbpedia.org/resource/Colorado_(state)
Athins,"http://dbpedia.org/resource/Athens,_Georgia","Georgia, GA",http://dbpedia.org/resource/Georgia_(U.S._state)
Atthol,"http://dbpedia.org/resource/Athol,_Massachusetts","Massachusetts, MA",http://dbpedia.org/resource/Massachusetts_(state)
Altanta,"http://dbpedia.org/resource/Atlanta,_Georgia","Georgia, GA",http://dbpedia.org/resource/Georgia_(U.S._state)
Aubern,"http://dbpedia.org/resource/Auburn,_Washington","Washington, WA",http://dbpedia.org/resource/Washington_(state)
Uaburn,"http://dbpedia.org/resource/Auburn,_Washington","Washington, WA",http://dbpedia.org/resource/Washington_(state)
