city,city__URI,state,state__URI
Abbevile,"http://dbpedia.org/resource/Abbeville,_Georgia","Georgia, GA",http://dbpedia.org/resource/Georgia_(U.S._state)
Acron,"http://dbpedia.org/resource/Akron,_Ohio","Ohio, OH",http://dbpedia.org/resource/Ohio_(state)
Alabastre,"http://dbpedia.org/resource/Alabaster,_Alabama","Alabama, AL",http://dbpedia.org/resource/Alabama_(state)
Alamedda,"http://dbpedia.org/resource/Alameda,_California","California, CA",http://dbpedia.org/resource/California_(state)
Alamusa,"http://dbpedia.org/resource/Alamosa,_Colorado","Colorado, CO",http://dbpedia.org/resource/Colorado_(state)
Albanee,"http://dbpedia.org/resource/Albany,_Oregon","Oregon, OR",http://dbpedia.org/resource/Oregon_(state)
Albertvile,"http://dbpedia.org/resource/Albertville,_Alabama","Alabama, AL",http://dbpedia.org/resource/Alabama_(state)
Albuqerque,"http://dbpedia.org/resource/Albuquerque,_New_Mexico","New Mexico, NM",http://dbpedia.org/resource/New_Mexico_(state)
Albuquerqe,"http://dbpedia.org/resource/Albuquerque,_New_Mexico","New Mexico, NM",http://dbpedia.org/resource/New_Mexico_(state)
Algonkwin,"http://dbpedia.org/resource/Algonquin,_Illinois","Illinois, IL",http://dbpedia.org/resource/Illinois_(state)
Alentown,"http://dbpedia.org/resource/Allentown,_Pennsylvania","Pennsylvania, PA",http://dbpedia.org/resource/Pennsylvania_(state)
Amla,"http://dbpedia.org/resource/Alma,_Arkansas","Arkansas, AR",http://dbpedia.org/resource/Arkansas_(state)
Andarson,"http://dbpedia.org/resource/Anderson,_South_Carolina","South Carolina, SC",http://dbpedia.org/resource/South_Carolina_(state)
Aniston,"http://dbpedia.org/resource/Anniston,_Alabama","Alabama, AL",http://dbpedia.org/resource/Alabama_(state)
Anthoy,"http://dbpedia.org/resource/Anthony,_New_Mexico","New Mexico, NM",http://dbpedia.org/resource/New_Mexico_(state)
Apache Junktion,"http://dbpedia.org/resource/Apache_Junction,_Arizona","Arizona, AZ",http://dbpedia.org/resource/Arizona_(state)
Artesea,"http://dbpedia.org/resource/Artesia,_Mississippi","Mississippi, MS",http://dbpedia.org/resource/Mississippi_(state)
Avrada,"http://dbpedia.org/resource/Arvada,_Colorado","Colorado, CO",http://dbpedia.org/resource/Colorado_(state)
Rvada,"http://dbpedia.org/resource/Arvada,_Colorado","Colorado, CO",http://dbpedia.org/resource/Colorado_(state)
Ashtown,"http://dbpedia.org/resource/Ashton,_Idaho","Idaho, ID",http://dbpedia.org/resource/Idaho_(state)
Aspin,"http://dbpedia.org/resource/Aspen,_Colorado","Colorado, CO",http://dbpedia.org/resource/Colorado_(state)
Atthol,"http://dbpedia.org/resource/Athol,_Massachusetts","Massachusetts, MA",http://dbpedia.org/resource/Massachusetts_(state)
Altanta,"http://dbpedia.org/resource/Atlanta,_Georgia","Georgia, GA",http://dbpedia.org/resource/Georgia_(U.S._state)
Uaburn,"http://dbpedia.org/resource/Auburn,_Washington","Washington, WA",http://dbpedia.org/resource/Washington_(state)
Ult,"http://dbpedia.org/resource/Ault,_Colorado","Colorado, CO",http://dbpedia.org/resource/Colorado_(state)
Uarora,"http://dbpedia.org/resource/Aurora,_Illinois","Illinois, IL",http://dbpedia.org/resource/Illinois_(state)
Austen,"http://dbpedia.org/resource/Austin,_Texas","Texas, TX",http://dbpedia.org/resource/Texas_(state)
Bandira,"http://dbpedia.org/resource/Bandera,_Texas","Texas, TX",http://dbpedia.org/resource/Texas_(state)
Banger,"http://dbpedia.org/resource/Bangor,_Maine","Maine, ME",http://dbpedia.org/resource/Maine_(state)
Bardston,"http://dbpedia.org/resource/Bardstown,_Kentucky","Kentucky, KY",http://dbpedia.org/resource/Kentucky_(state)
Bare,"http://dbpedia.org/resource/Barre,_Vermont","Vermont, VT",http://dbpedia.org/resource/Vermont_(state)
Batevia,"http://dbpedia.org/resource/Batavia,_Illinois","Illinois, IL",http://dbpedia.org/resource/Illinois_(state)
Bayo La Bater,"http://dbpedia.org/resource/Bayou_La_Batre,_Alabama","Alabama, AL",http://dbpedia.org/resource/Alabama_(state)
Bayuo La Batre,"http://dbpedia.org/resource/Bayou_La_Batre,_Alabama","Alabama, AL",http://dbpedia.org/resource/Alabama_(state)
