"Country","Country__URI","Region","Region__URI","City","City__URI"
"United States","http://dbpedia.org/resource/United_States","Illinois","http://dbpedia.org/resource/Illinois,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Illinois"
"United States","http://dbpedia.org/resource/United_States","Maryland","http://dbpedia.org/resource/Maryland,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Maryland"
"United States","http://dbpedia.org/resource/United_States","Massachusetts","http://dbpedia.org/resource/Massachusetts,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Massachusetts"
"United States","http://dbpedia.org/resource/United_States","Minnesota","http://dbpedia.org/resource/Minnesota,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Minnesota"
"United States","http://dbpedia.org/resource/United_States","Nebraska","http://dbpedia.org/resource/Nebraska,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Nebraska"
"United States","http://dbpedia.org/resource/United_States","New York","http://dbpedia.org/resource/New_York","Cambridge","http://dbpedia.org/resource/Cambridge,_New_York"
"United States","http://dbpedia.org/resource/United_States","Ohio","http://dbpedia.org/resource/Ohio,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Ohio"
"United States","http://dbpedia.org/resource/United_States","Wisconsin","http://dbpedia.org/resource/Wisconsin,_United_States","Cambridge","http://dbpedia.org/resource/Cambridge,_Wisconsin"
"United States","http://dbpedia.org/resource/United_States","Alabama","http://dbpedia.org/resource/Alabama,_United_States","Camden","http://dbpedia.org/resource/Camden,_Alabama"
"United States","http://dbpedia.org/resource/United_States","Arkansas","http://dbpedia.org/resource/Arkansas,_United_States","Camden","http://dbpedia.org/resource/Camden,_Arkansas"
"United States","http://dbpedia.org/resource/United_States","Delaware","http://dbpedia.org/resource/Delaware,_United_States","Camden","http://dbpedia.org/resource/Camden,_Delaware"
"United States","http://dbpedia.org/resource/United_States","Maine","http://dbpedia.org/resource/Maine,_United_States","Camden","http://dbpedia.org/resource/Camden,_Maine"
"United States","http://dbpedia.org/resource/United_States","New Jersey","http://dbpedia.org/resource/New_Jersey,_United_States","Camden","http://dbpedia.org/resource/Camden,_New_Jersey"
"United States","http://dbpedia.org/resource/United_States","New York","http://dbpedia.org/resource/New_York","Camden","http://dbpedia.org/resource/Camden,_New_York"
"United States","http://dbpedia.org/resource/United_States","North Carolina","http://dbpedia.org/resource/North_Carolina,_United_States","Camden","http://dbpedia.org/resource/Camden,_North_Carolina"
"United States","http://dbpedia.org/resource/United_States","Ohio","http://dbpedia.org/resource/Ohio,_United_States","Camden","http://dbpedia.org/resource/Camden,_Ohio"
"United States","http://dbpedia.org/resource/United_States","South Carolina","http://dbpedia.org/resource/South_Carolina,_United_States","Camden","http://dbpedia.org/resource/Camden,_South_Carolina"
"United States","http://dbpedia.org/resource/United_States","Tennessee","http://dbpedia.org/resource/Tennessee,_United_States","Camden","http://dbpedia.org/resource/Camden,_Tennessee"
"United States","http://dbpedia.org/resource/United_States","Mississippi","http://dbpedia.org/resource/Mississippi,_United_States","Como","http://dbpedia.org/resource/Como,_Mississippi"
"United States","http://dbpedia.org/resource/United_States","Wisconsin","http://dbpedia.org/resource/Wisconsin,_United_States","Como","http://dbpedia.org/resource/Como,_Wisconsin"
"United States","http://dbpedia.org/resource/United_States","California","http://dbpedia.org/resource/California,_United_States","Dublin","http://dbpedia.org/resource/Dublin,_California"
"United States","http://dbpedia.org/resource/United_States","Georgia","http://dbpedia.org/resource/Georgia,_United_States","Dublin","http://dbpedia.org/resource/Dublin,_Georgia"
"United States","http://dbpedia.org/resource/United_States","New Hampshire","http://dbpedia.org/resource/New_Hampshire,_United_States","Dublin","http://dbpedia.org/resource/Dublin,_New_Hampshire"
"United States","http://dbpedia.org/resource/United_States","Ohio","http://dbpedia.org/resource/Ohio,_United_States","Dublin","http://dbpedia.org/resource/Dublin,_Ohio"
"United States","http://dbpedia.org/resource/United_States","Pennsylvania","http://dbpedia.org/resource/Pennsylvania,_United_States","Dublin","http://dbpedia.org/resource/Dublin,_Pennsylvania"
"United States","http://dbpedia.org/resource/United_States","Texas","http://dbpedia.org/resource/Texas,_United_States","Dublin","http://dbpedia.org/resource/Dublin,_Texas"
"United States","http://dbpedia.org/resource/United_States","Virginia","http://dbpedia.org/resource/Virginia,_United_States","Dublin","http://dbpedia.org/resource/Dublin,_Virginia"
"United States","http://dbpedia.org/resource/United_States","Alabama","http://dbpedia.org/resource/Alabama,_United_States","Hamilton","http://dbpedia.org/resource/Hamilton,_Alabama"
"United States","http://dbpedia.org/resource/United_States","Georgia","http://dbpedia.org/resource/Georgia,_United_States","Hamilton","http://dbpedia.org/resource/Hamilton,_Georgia"
"United States","http://dbpedia.org/resource/United_States","Illinois","http://dbpedia.org/resource/Illinois,_United_States","Hamilton","http://dbpedia.org/resource/Hamilton,_Illinois"
"United States","http://dbpedia.org/resource/United_States","Indiana","http://dbpedia.org/resource/Indiana,_United_States","Hamilton","http://dbpedia.org/resource/Hamilton,_Indiana"
"United States","http://dbpedia.org/resource/United_States","Massachusetts","http://dbpedia.org/resource/Massachusetts,_United_States","Hamilton","http://dbpedia.org/resource/Hamilton,_Massachusetts"
"United States","http://dbpedia.org/resource/United_States","Missouri","http://dbpedia.org/resource/Missouri,_United_States","Hamilton","http://dbpedia.org/resource/Hamilton,_Missouri"
"United States","http://dbpedia.org/resource/United_States","Montana","http://dbpedia.org/resource/Montana,_United_States","Hamilton","http://dbpedia.org/resource/Hamilton,_Montana"
"United States","http://dbpedia.org/resource/United_States","New York","http://dbpedia.org/resource/New_York","Hamilton","http://dbpedia.org/resource/Hamilton,_New_York"
"United States","http://dbpedia.org/resource/United_States","Ohio","http://dbpedia.org/resource/Ohio,_United_States","Hamilton","http://dbpedia.org/resource/Hamilton,_Ohio"
"United States","http://dbpedia.org/resource/United_States","Texas","http://dbpedia.org/resource/Texas,_United_States","Hamilton","http://dbpedia.org/resource/Hamilton,_Texas"
"United States","http://dbpedia.org/resource/United_States","Illinois","http://dbpedia.org/resource/Illinois,_United_States","Kingston","http://dbpedia.org/resource/Kingston,_Illinois"
"United States","http://dbpedia.org/resource/United_States","Massachusetts","http://dbpedia.org/resource/Massachusetts,_United_States","Kingston","http://dbpedia.org/resource/Kingston,_Massachusetts"
"United States","http://dbpedia.org/resource/United_States","Missouri","http://dbpedia.org/resource/Missouri,_United_States","Kingston","http://dbpedia.org/resource/Kingston,_Missouri"
"United States","http://dbpedia.org/resource/United_States","New Hampshire","http://dbpedia.org/resource/New_Hampshire,_United_States","Kingston","http://dbpedia.org/resource/Kingston,_New_Hampshire"
"United States","http://dbpedia.org/resource/United_States","New Jersey","http://dbpedia.org/resource/New_Jersey,_United_States","Kingston","http://dbpedia.org/resource/Kingston,_New_Jersey"
"United States","http://dbpedia.org/resource/United_States","New York","http://dbpedia.org/resource/New_York","Kingston","http://dbpedia.org/resource/Kingston,_New_York"
"United States","http://dbpedia.org/resource/United_States","Ohio","http://dbpedia.org/resource/Ohio,_United_States","Kingston","http://dbpedia.org/resource/Kingston,_Ohio"
"United States","http://dbpedia.org/resource/United_States","Oklahoma","http://dbpedia.org/resource/Oklahoma,_United_States","Kingston","http://dbpedia.org/resource/Kingston,_Oklahoma"
"United States","http://dbpedia.org/resource/United_States","Pennsylvania","http://dbpedia.org/resource/Pennsylvania,_United_States","Kingston","http://dbpedia.org/resource/Kingston,_Pennsylvania"
"United States","http://dbpedia.org/resource/United_States","Rhode Island","http://dbpedia.org/resource/Rhode_Island,_United_States","Kingston","http://dbpedia.org/resource/Kingston,_Rhode_Island"
"United States","http://dbpedia.org/resource/United_States","Tennessee","http://dbpedia.org/resource/Tennessee,_United_States","Kingston","http://dbpedia.org/resource/Kingston,_Tennessee"
"United States","http://dbpedia.org/resource/United_States","Washington","http://dbpedia.org/resource/Washington_(state)","Kingston","http://dbpedia.org/resource/Kingston,_Washington"
"United States","http://dbpedia.org/resource/United_States","Illinois","http://dbpedia.org/resource/Illinois,_United_States","Lebanon","http://dbpedia.org/resource/Lebanon,_Illinois"
"United States","http://dbpedia.org/resource/United_States","Indiana","http://dbpedia.org/resource/Indiana,_United_States","Lebanon","http://dbpedia.org/resource/Lebanon,_Indiana"
"United States","http://dbpedia.org/resource/United_States","Kentucky","http://dbpedia.org/resource/Kentucky,_United_States","Lebanon","http://dbpedia.org/resource/Lebanon,_Kentucky"
"United States","http://dbpedia.org/resource/United_States","Maine","http://dbpedia.org/resource/Maine,_United_States","Lebanon","http://dbpedia.org/resource/Lebanon,_Maine"
"United States","http://dbpedia.org/resource/United_States","Missouri","http://dbpedia.org/resource/Missouri,_United_States","Lebanon","http://dbpedia.org/resource/Lebanon,_Missouri"
"United States","http://dbpedia.org/resource/United_States","New Hampshire","http://dbpedia.org/resource/New_Hampshire,_United_States","Lebanon","http://dbpedia.org/resource/Lebanon,_New_Hampshire"
"United States","http://dbpedia.org/resource/United_States","New Jersey","http://dbpedia.org/resource/New_Jersey,_United_States","Lebanon","http://dbpedia.org/resource/Lebanon,_New_Jersey"
"United States","http://dbpedia.org/resource/United_States","Ohio","http://dbpedia.org/resource/Ohio,_United_States","Lebanon","http://dbpedia.org/resource/Lebanon,_Ohio"
"United States","http://dbpedia.org/resource/United_States","Oregon","http://dbpedia.org/resource/Oregon,_United_States","Lebanon","http://dbpedia.org/resource/Lebanon,_Oregon"
"United States","http://dbpedia.org/resource/United_States","Pennsylvania","http://dbpedia.org/resource/Pennsylvania,_United_States","Lebanon","http://dbpedia.org/resource/Lebanon,_Pennsylvania"
"United States","http://dbpedia.org/resource/United_States","Tennessee","http://dbpedia.org/resource/Tennessee,_United_States","Lebanon","http://dbpedia.org/resource/Lebanon,_Tennessee"
"United States","http://dbpedia.org/resource/United_States","Virginia","http://dbpedia.org/resource/Virginia,_United_States","Lebanon","http://dbpedia.org/resource/Lebanon,_Virginia"
"United States","http://dbpedia.org/resource/United_States","Connecticut","http://dbpedia.org/resource/Connecticut,_United_States","Lisbon","http://dbpedia.org/resource/Lisbon,_Connecticut"
"United States","http://dbpedia.org/resource/United_States","Iowa","http://dbpedia.org/resource/Iowa,_United_States","Lisbon","http://dbpedia.org/resource/Lisbon,_Iowa"
"United States","http://dbpedia.org/resource/United_States","Maine","http://dbpedia.org/resource/Maine,_United_States","Lisbon","http://dbpedia.org/resource/Lisbon,_Maine"
"United States","http://dbpedia.org/resource/United_States","North Dakota","http://dbpedia.org/resource/North_Dakota,_United_States","Lisbon","http://dbpedia.org/resource/Lisbon,_North_Dakota"
"United States","http://dbpedia.org/resource/United_States","Ohio","http://dbpedia.org/resource/Ohio,_United_States","Lisbon","http://dbpedia.org/resource/Lisbon,_Ohio"
"United States","http://dbpedia.org/resource/United_States","Arkansas","http://dbpedia.org/resource/Arkansas,_United_States","London","http://dbpedia.org/resource/London,_Arkansas"
"United States","http://dbpedia.org/resource/United_States","California","http://dbpedia.org/resource/California,_United_States","London","http://dbpedia.org/resource/London,_California"
"United States","http://dbpedia.org/resource/United_States","Kentucky","http://dbpedia.org/resource/Kentucky,_United_States","London","http://dbpedia.org/resource/London,_Kentucky"
"United States","http://dbpedia.org/resource/United_States","Ohio","http://dbpedia.org/resource/Ohio,_United_States","London","http://dbpedia.org/resource/London,_Ohio"
"United States","http://dbpedia.org/resource/United_States","Connecticut","http://dbpedia.org/resource/Connecticut,_United_States","Manchester","http://dbpedia.org/resource/Manchester,_Connecticut"
"United States","http://dbpedia.org/resource/United_States","Georgia","http://dbpedia.org/resource/Georgia,_United_States","Manchester","http://dbpedia.org/resource/Manchester,_Georgia"
"United States","http://dbpedia.org/resource/United_States","Iowa","http://dbpedia.org/resource/Iowa,_United_States","Manchester","http://dbpedia.org/resource/Manchester,_Iowa"
"United States","http://dbpedia.org/resource/United_States","Kentucky","http://dbpedia.org/resource/Kentucky,_United_States","Manchester","http://dbpedia.org/resource/Manchester,_Kentucky"
"United States","http://dbpedia.org/resource/United_States","Maine","http://dbpedia.org/resource/Maine,_United_States","Manchester","http://dbpedia.org/resource/Manchester,_Maine"
"United States","http://dbpedia.org/resource/United_States","Maryland","http://dbpedia.org/resource/Maryland,_United_States","Manchester","http://dbpedia.org/resource/Manchester,_Maryland"
"United States","http://dbpedia.org/resource/United_States","Michigan","http://dbpedia.org/resource/Michigan,_United_States","Manchester","http://dbpedia.org/resource/Manchester,_Michigan"
"United States","http://dbpedia.org/resource/United_States","Missouri","http://dbpedia.org/resource/Missouri,_United_States","Manchester","http://dbpedia.org/resource/Manchester,_Missouri"
