"celebrity","celebrity__URI","birth_place","birth_place__URI","country","country__URI"
"Zooey Deschanell","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deshanelle","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deschanele","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deschennel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deschaunel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Dachanel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Daeschanel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deschenell","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Dechanele","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Daschenelle","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Daeshanel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Daechanel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deschunel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Dashenell","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Dashenal","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Daeschenal","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deshanael","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deschenael","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deychanel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Daschenell","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deachanel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Dechenell","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deshnel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Deshcanel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Dischanel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Descheanel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Dashinal","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Descahnel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Zooey Dashnel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
