"celebrity","celebrity__URI","birth_place","birth_place__URI","country","country__URI"
"Zooey Deschanel","http://dbpedia.org/resource/Zooey_Deschanel","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Sarah McLachlan","http://dbpedia.org/resource/Sarah_McLachlan","Halifax","http://dbpedia.org/resource/Halifax,_Nova_Scotia","Canada","http://dbpedia.org/resource/Canada"
"Zachary Knight Galifianakis","http://dbpedia.org/resource/Zach_Galifianakis","Wilkesboro","http://dbpedia.org/resource/Wilkesboro,_North_Carolina","United States","http://dbpedia.org/resource/United_States"
"Shia Saide LaBeouf","http://dbpedia.org/resource/Shia_LaBeouf","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Macaulay Carson Culkin","http://dbpedia.org/resource/Macaulay_Culkin","New York","http://dbpedia.org/resource/New_York_City","United States","http://dbpedia.org/resource/United_States"
"Matthew McConaughey","http://dbpedia.org/resource/Matthew_McConaughey","Uvalde","http://dbpedia.org/resource/Uvalde,_Texas","United States","http://dbpedia.org/resource/United_States"
"Nicki Minaj","http://dbpedia.org/resource/Nicki_Minaj","Saint James","http://dbpedia.org/resource/Saint_James,_Trinidad_and_Tobago","Trinidad and Tobago","http://dbpedia.org/resource/Trinidad_and_Tobago"
"Alanis Morissette","http://dbpedia.org/resource/Alanis_Morissette","Ottawa","http://dbpedia.org/resource/Ottawa","Canada","http://dbpedia.org/resource/Canada"
"Amy Poehler","http://dbpedia.org/resource/Amy_Poehler","Newton","http://dbpedia.org/resource/Newton,_Massachusetts","United States","http://dbpedia.org/resource/United_States"
"Manoj Shyamalan","http://dbpedia.org/resource/M._Night_Shyamalan","Mahé","http://dbpedia.org/resource/Mah%C3%A9,_Puducherry","India","http://dbpedia.org/resource/India"
"Colin Rand Kaepernick","http://dbpedia.org/resource/Colin_Kaepernick","Milwaukee","http://dbpedia.org/resource/Milwaukee","United States","http://dbpedia.org/resource/United_States"
"Mark McGwire","http://dbpedia.org/resource/Mark_McGwire","Pomona","http://dbpedia.org/resource/Pomona,_California","United States","http://dbpedia.org/resource/United_States"
"Chuck Palahniuk","http://dbpedia.org/resource/Chuck_Palahniuk","Pasco","http://dbpedia.org/resource/Pasco,_Washington","United States","http://dbpedia.org/resource/United_States"
"Picabo Street","http://dbpedia.org/resource/Picabo_Street","Triumph","http://dbpedia.org/resource/Triumph,_Idaho","United States","http://dbpedia.org/resource/United_States"
"Scarlett Johansson","http://dbpedia.org/resource/Scarlett_Johansson","New_York","http://dbpedia.org/resource/New_York_City","United States","http://dbpedia.org/resource/United_States"
