"actor","actor__URI","birth_place","birth_place__URI","nationality","nationality__URI"
"Matthew McConeuhay","http://dbpedia.org/resource/Matthew_McConaughey","Uvalde","http://dbpedia.org/resource/Uvalde,_Texas","United States","http://dbpedia.org/resource/United_States"
"Matthew Mconnaughey","http://dbpedia.org/resource/Matthew_McConaughey","Uvalde","http://dbpedia.org/resource/Uvalde,_Texas","United States","http://dbpedia.org/resource/United_States"
"Matthew McConaehuy","http://dbpedia.org/resource/Matthew_McConaughey","Uvalde","http://dbpedia.org/resource/Uvalde,_Texas","United States","http://dbpedia.org/resource/United_States"
"Noa Centenio","http://dbpedia.org/resource/Noah_Centineo","Miami","http://dbpedia.org/resource/Miami","United States","http://dbpedia.org/resource/United_States"
"Noah Cinteneo","http://dbpedia.org/resource/Noah_Centineo","Miami","http://dbpedia.org/resource/Miami","United States","http://dbpedia.org/resource/United_States"
"Saoirsha Ronan","http://dbpedia.org/resource/Saoirse_Ronan","New York","http://dbpedia.org/resource/New_York_City","United States","http://dbpedia.org/resource/United_States"
"Seirsha Ronan","http://dbpedia.org/resource/Saoirse_Ronan","New York","http://dbpedia.org/resource/New_York_City","United States","http://dbpedia.org/resource/United_States"
"Milo Vintimigilia","http://dbpedia.org/resource/Milo_Ventimiglia","Anaheim","http://dbpedia.org/resource/Anaheim,_California","United States","http://dbpedia.org/resource/United_States"
"Milo Ventemigilia","http://dbpedia.org/resource/Milo_Ventimiglia","Anaheim","http://dbpedia.org/resource/Anaheim,_California","United States","http://dbpedia.org/resource/United_States"
"Milo Vintemigilia","http://dbpedia.org/resource/Milo_Ventimiglia","Anaheim","http://dbpedia.org/resource/Anaheim,_California","United States","http://dbpedia.org/resource/United_States"
"Amanda Seyfred","http://dbpedia.org/resource/Amanda_Seyfried","Allentown","http://dbpedia.org/resource/Allentown,_Pennsylvania","United States","http://dbpedia.org/resource/United_States"
"Amanda Siyfried","http://dbpedia.org/resource/Amanda_Seyfried","Allentown","http://dbpedia.org/resource/Allentown,_Pennsylvania","United States","http://dbpedia.org/resource/United_States"
"Amanda Sehfried","http://dbpedia.org/resource/Amanda_Seyfried","Allentown","http://dbpedia.org/resource/Allentown,_Pennsylvania","United States","http://dbpedia.org/resource/United_States"
"Barbra Strisend","http://dbpedia.org/resource/Barbra_Streisand","Brooklyn","http://dbpedia.org/resource/Brooklyn","United States","http://dbpedia.org/resource/United_States"
"Barbra Streizand","http://dbpedia.org/resource/Barbra_Streisand","Brooklyn","http://dbpedia.org/resource/Brooklyn","United States","http://dbpedia.org/resource/United_States"
"Idris Elbah","http://dbpedia.org/resource/Idris_Elbaa","London","http://dbpedia.org/resource/London","England","http://dbpedia.org/resource/England"
"Idres Elba","http://dbpedia.org/resource/Idris_Elba","London","http://dbpedia.org/resource/London","England","http://dbpedia.org/resource/England"
"Jake Gylenhaal","http://dbpedia.org/resource/Jake_Gyllenhaal","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
"Jake Gyllenhal","http://dbpedia.org/resource/Jake_Gyllenhaal","Los Angeles","http://dbpedia.org/resource/Los_Angeles","United States","http://dbpedia.org/resource/United_States"
