"Medicine","Medicine__URI","Trade","Trade__URI","ATC Code","Route of administration","Route of administration__URI"
"aspirine","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"asprine","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"asperine","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"asperines","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"asperin","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"aspren","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"assprin","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"ibprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibruprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprofin","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprophen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofin","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofien","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibeuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibproufen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibeprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"iboprufen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibubrofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprofren","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibp","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprofins","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprofene","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprophens","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibeeprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibrophen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofuen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibrufen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibreprophen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibroprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"iboprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprofens","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprufen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibprouphen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibueprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibupropen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"ibuprohen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"niproxin","http://dbpedia.org/resource/Naproxen","Anaprox","http://dbpedia.org/resource/Anaprox","G02CC02","By mouth","http://dbpedia.org/resource/Oral_administration"
"neproxen","http://dbpedia.org/resource/Naproxen","Anaprox","http://dbpedia.org/resource/Anaprox","G02CC02","By mouth","http://dbpedia.org/resource/Oral_administration"
"naproxin","http://dbpedia.org/resource/Naproxen","Anaprox","http://dbpedia.org/resource/Anaprox","G02CC02","By mouth","http://dbpedia.org/resource/Oral_administration"
"neproxin","http://dbpedia.org/resource/Naproxen","Anaprox","http://dbpedia.org/resource/Anaprox","G02CC02","By mouth","http://dbpedia.org/resource/Oral_administration"
"acetaminophen","http://dbpedia.org/resource/Paracetamol","Tylenol","http://dbpedia.org/resource/Tylenol_(brand)","N02BE01","Rectal","http://dbpedia.org/resource/Rectal_administration"
"aspirin","http://dbpedia.org/resource/Aspirin","Bayer Aspirin","http://dbpedia.org/resource/Bayer","A01AD05","By mouth","http://dbpedia.org/resource/Oral_administration"
"ibuprofen","http://dbpedia.org/resource/Ibuprofen","Advil","http://dbpedia.org/resource/Advil","C01EB16","Intravenous","http://dbpedia.org/resource/Intravenous_therapy"
"sertraline","http://dbpedia.org/resource/Sertraline","Zoloft","http://dbpedia.org/resource/Zoloft","N06AB06","By mouth","http://dbpedia.org/resource/Oral_administration"
