"city","city__URI","state","state__URI"
"Abbeville","http://dbpedia.org/resource/Abbeville,_Georgia","Georgia, GA","http://dbpedia.org/resource/Georgia_(U.S._state)"
"Abilene","http://dbpedia.org/resource/Abilene,_Texas","Texas, TX","http://dbpedia.org/resource/Texas_(state)"
"Adamsville","http://dbpedia.org/resource/Adamsville,_Tennessee","Tennessee, TN","http://dbpedia.org/resource/Tennessee_(state)"
"Akron","http://dbpedia.org/resource/Akron,_Ohio","Ohio, OH","http://dbpedia.org/resource/Ohio_(state)"
"Alabaster","http://dbpedia.org/resource/Alabaster,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Alameda","http://dbpedia.org/resource/Alameda,_California","California, CA","http://dbpedia.org/resource/California_(state)"
"Alamosa","http://dbpedia.org/resource/Alamosa,_Colorado","Colorado, CO","http://dbpedia.org/resource/Colorado_(state)"
"Albany","http://dbpedia.org/resource/Albany,_Oregon","Oregon, OR","http://dbpedia.org/resource/Oregon_(state)"
"Albany","http://dbpedia.org/resource/Albany,_New_York","New York, NY","http://dbpedia.org/resource/New_York_(state)"
"Albertville","http://dbpedia.org/resource/Albertville,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Albuquerque","http://dbpedia.org/resource/Albuquerque,_New_Mexico","New Mexico, NM","http://dbpedia.org/resource/New_Mexico_(state)"
"Algona","http://dbpedia.org/resource/Algona,_Washington","Washington, WA","http://dbpedia.org/resource/Washington_(state)"
"Algona","http://dbpedia.org/resource/Algona,_Iowa","Iowa, IA","http://dbpedia.org/resource/Iowa_(state)"
"Algonquin","http://dbpedia.org/resource/Algonquin,_Illinois","Illinois, IL","http://dbpedia.org/resource/Illinois_(state)"
"Allentown","http://dbpedia.org/resource/Allentown,_Pennsylvania","Pennsylvania, PA","http://dbpedia.org/resource/Pennsylvania_(state)"
"Alma","http://dbpedia.org/resource/Alma,_Arkansas","Arkansas, AR","http://dbpedia.org/resource/Arkansas_(state)"
"Anderson","http://dbpedia.org/resource/Anderson,_South_Carolina","South Carolina, SC","http://dbpedia.org/resource/South_Carolina_(state)"
"Ann Arbor","http://dbpedia.org/resource/Ann_Arbor,_Michigan","Michigan, MI","http://dbpedia.org/resource/Michigan_(state)"
"Annapolis","http://dbpedia.org/resource/Annapolis,_Maryland","Maryland, MD","http://dbpedia.org/resource/Maryland_(state)"
"Anniston","http://dbpedia.org/resource/Anniston,_Alabama","Alabama, AL","http://dbpedia.org/resource/Alabama_(state)"
"Anoka","http://dbpedia.org/resource/Anoka,_Minnesota","Minnesota, MN","http://dbpedia.org/resource/Minnesota_(state)"
"Anthony","http://dbpedia.org/resource/Anthony,_New_Mexico","New Mexico, NM","http://dbpedia.org/resource/New_Mexico_(state)"
"Apache Junction","http://dbpedia.org/resource/Apache_Junction,_Arizona","Arizona, AZ","http://dbpedia.org/resource/Arizona_(state)"
